File Name,down,right,up,left,t,l,L,E,Young's Modulus (MPa),Volume Fraction,Dense strain,SEA,Mass,EYM,Critical Strain,PS
60mm_1_078,150,90,150,90,0.8,15,25,427.384,6.098020903,0.261278912,0.634209524,691.4486455,0.023750253,0.014268248,0.091737445,0.302956107
60mm_1_079,150,90,120,90,0.8,15,25,427.384,4.504258528,0.26764822,0.625292491,715.9491484,0.024329223,0.010539137,0.091648587,0.333496199
60mm_1_080,150,90,90,90,0.8,15,25,427.384,4.805922823,0.281488902,0.605915537,939.8209851,0.025587341,0.011244976,0.15,0.484179504
60mm_1_081,120,180,180,180,0.8,15,25,427.384,19.88276315,0.221584042,0.689782342,545.5253536,0.020141989,0.046522011,0.032081507,0.179256624
60mm_1_082,120,180,180,150,0.8,15,25,427.384,2.5282345,0.223465441,0.687148383,353.4546963,0.020313009,0.005915604,0.013749102,0.117520124
60mm_1_083,120,180,180,120,0.8,15,25,427.384,1.580677587,0.22983475,0.67823135,458.2235996,0.020891979,0.003698495,0.01374996,0.156118922
60mm_1_084,120,180,180,90,0.8,15,25,427.384,5.591642664,0.243675432,0.658854396,522.1809095,0.022150097,0.013083416,0.013751374,0.195200564
60mm_1_085,120,180,150,180,0.8,15,25,427.384,33.85034497,0.223465441,0.687148383,520.5352856,0.020313009,0.079203585,0.03208003,0.172201995
60mm_1_086,120,180,150,150,0.8,15,25,427.384,18.31460834,0.22534684,0.684514424,345.7637111,0.020484028,0.042852817,0.013750439,0.116071215
60mm_1_087,120,180,150,120,0.8,15,25,427.384,4.09999301,0.231716149,0.675597391,438.1296451,0.021062998,0.00959323,0.013751494,0.153749947
60mm_1_088,120,180,150,90,0.8,15,25,427.384,8.559656154,0.245556831,0.656220437,507.4932748,0.022321116,0.020028022,0.064164877,0.205118321
60mm_1_089,120,180,120,180,0.8,15,25,427.384,26.3923463,0.22983475,0.67823135,475.0518626,0.020891979,0.061753239,0.032081654,0.163600981
60mm_1_090,120,180,120,150,0.8,15,25,427.384,8.845335006,0.231716149,0.675597392,341.8201374,0.021062998,0.020696458,0.013750715,0.118115969
60mm_1_091,120,180,120,120,0.8,15,25,427.384,10.35264144,0.238085458,0.666680359,405.1258041,0.021641968,0.024223278,0.013750239,0.148375916
60mm_1_092,120,180,120,90,0.8,15,25,427.384,1.880594309,0.25192614,0.647303405,496.7545443,0.022900086,0.004400245,0.064190328,0.204329065
60mm_1_093,120,180,90,180,0.8,15,25,427.384,21.73097372,0.243675432,0.658854396,541.085734,0.022150097,0.050846484,0.032082264,0.20565181
60mm_1_094,120,180,90,150,0.8,15,25,427.384,6.762973565,0.245556831,0.656220437,444.2128261,0.022321116,0.015824115,0.013750513,0.17084711
60mm_1_095,120,180,90,120,0.8,15,25,427.384,1.886797788,0.25192614,0.647303404,551.6576553,0.022900086,0.00441476,0.064198907,0.233563158
60mm_1_096,120,180,90,90,0.8,15,25,427.384,6.185498715,0.265766822,0.62792645,752.5088537,0.024158204,0.01447293,0.022920871,0.330397607
60mm_1_097,120,150,180,150,0.8,15,25,427.384,3.599807565,0.22534684,0.684514424,363.7327396,0.020484028,0.008422888,0.04125421,0.122594699
60mm_1_098,120,150,180,120,0.8,15,25,427.384,1.920591895,0.231716149,0.675597391,409.2689327,0.021062998,0.004493832,0.013749536,0.142361464
60mm_1_099,120,150,180,90,0.8,15,25,427.384,1.390888747,0.245556831,0.656220437,509.5842709,0.022321116,0.003254424,0.022918824,0.198654937
60mm_1_100,120,150,150,150,0.8,15,25,427.384,4.333480582,0.227228239,0.681880465,343.7041927,0.020655047,0.010139548,0.013750732,0.117365626
60mm_1_101,120,150,150,120,0.8,15,25,427.384,1.938542878,0.233597548,0.672963432,410.2691416,0.021234017,0.004535834,0.013751163,0.14429541
60mm_1_102,120,150,150,90,0.8,15,25,427.384,1.360818436,0.24743823,0.653586478,513.6725123,0.022492135,0.003184065,0.132954963,0.224243147
60mm_1_103,120,150,120,150,0.8,15,25,427.384,2.678099264,0.233597548,0.672963433,339.8938518,0.021234017,0.00626626,0.013750841,0.121189721
60mm_1_104,120,150,120,120,0.8,15,25,427.384,3.24105246,0.299958571,0.580058,468.8326224,0.027266234,0.007583467,0.032092537,0.255469298
60mm_1_105,120,150,120,90,0.8,15,25,427.384,1.490315361,0.253807539,0.644669446,551.0746548,0.023071105,0.003487064,0.10080119,0.24397918
60mm_1_106,120,150,90,150,0.8,15,25,427.384,3.621312673,0.24743823,0.653586478,447.398639,0.022492135,0.008473206,0.022916871,0.176111877
60mm_1_107,120,150,90,120,0.8,15,25,427.384,1.745522588,0.253807539,0.644669445,603.6431442,0.023071105,0.004084202,0.123724127,0.271681841
60mm_1_108,120,150,90,90,0.8,15,25,427.384,2.362241546,0.267648221,0.625292491,716.3328147,0.024329223,0.005527211,0.15,0.362353878
60mm_1_109,120,120,180,120,0.8,15,25,427.384,1.008357843,0.238085458,0.666680359,573.6087177,0.021641968,0.002359372,0.041240044,0.215979255
60mm_1_110,120,120,180,90,0.8,15,25,427.384,0.700087901,0.25192614,0.647303405,550.3091442,0.022900086,0.001638077,0.013748715,0.220894854
60mm_1_111,120,120,150,120,0.8,15,25,427.384,1.106159543,0.239966857,0.6640464,564.6868871,0.021812987,0.00258821,0.041262031,0.218163498
60mm_1_112,120,120,150,90,0.8,15,25,427.384,0.724882583,0.253807539,0.644669446,525.3382333,0.023071105,0.001696092,0.01375128,0.213332677
60mm_1_113,120,120,120,120,0.8,15,25,427.384,1.068478805,0.246336166,0.655129368,527.3922026,0.022391957,0.002500044,0.041269843,0.209641222
60mm_1_114,120,120,120,90,0.8,15,25,427.384,0.700297319,0.260176848,0.635752413,435.9228391,0.023650075,0.001638567,0.013749723,0.184096352
60mm_1_115,120,120,90,120,0.8,15,25,427.384,1.076115302,0.260176848,0.635752413,677.2596379,0.023650075,0.002517912,0.15,0.344858339
60mm_1_116,120,120,90,90,0.8,15,25,427.384,1.05910029,0.27401753,0.616375459,611.0971007,0.024908193,0.0024781,0.15,0.334565493
60mm_1_117,120,90,180,90,0.8,15,25,427.384,5.653379565,0.265766822,0.62792645,737.6185713,0.024158204,0.013227869,0.041264498,0.323017572
60mm_1_118,120,90,150,90,0.8,15,25,427.384,4.664327512,0.267648221,0.625292491,689.423293,0.024329223,0.010913669,0.050425903,0.314708542
60mm_1_119,120,90,120,90,0.8,15,25,427.384,1.813842057,0.27401753,0.616375459,558.8449745,0.024908193,0.004244057,0.100843096,0.282279139
60mm_1_120,120,90,90,90,0.8,15,25,427.384,2.036394582,0.287858212,0.596998504,644.8981835,0.026166311,0.004764789,0.132741857,0.359147821
60mm_1_121,90,180,180,180,0.8,15,25,427.384,19.84798905,0.235424723,0.670405387,683.0374412,0.021400107,0.046440646,0.050402109,0.248002875
60mm_1_122,90,180,180,150,0.8,15,25,427.384,3.115949043,0.237306123,0.667771428,528.9733395,0.021571127,0.007290748,0.013752556,0.192901013
60mm_1_123,90,180,180,120,0.8,15,25,427.384,1.131220486,0.243675432,0.658854396,612.1202477,0.022150097,0.002646848,0.110135007,0.257843507
60mm_1_124,90,180,180,90,0.8,15,25,427.384,4.924571459,0.257516113,0.639477441,783.3173675,0.023408215,0.011522592,0.013750341,0.318293317
60mm_1_125,90,180,150,180,0.8,15,25,427.384,33.61589322,0.237306122,0.667771429,649.6883175,0.021571127,0.078655011,0.013750675,0.234514131
60mm_1_126,90,180,150,150,0.8,15,25,427.384,5.631212866,0.239187522,0.66513747,506.7960696,0.021742146,0.013176003,0.013750601,0.183482094
60mm_1_127,90,180,150,120,0.8,15,25,427.384,1.708979546,0.245556831,0.656220437,589.7827696,0.022321116,0.003998698,0.100753768,0.244962121
60mm_1_128,90,180,150,90,0.8,15,25,427.384,8.706071502,0.259397512,0.636843483,782.4689458,0.023579234,0.020370607,0.013751252,0.326208694
60mm_1_129,90,180,120,180,0.8,15,25,427.384,26.21243815,0.243675431,0.658854396,541.9829043,0.022150097,0.061332287,0.041241042,0.207306439
60mm_1_130,90,180,120,150,0.8,15,25,427.384,10.77876124,0.24555683,0.656220437,432.6298666,0.022321116,0.02522032,0.013750767,0.165986667
60mm_1_131,90,180,120,120,0.8,15,25,427.384,9.955912844,0.25192614,0.647303405,526.7047935,0.022900086,0.023295006,0.073342832,0.220500975
60mm_1_132,90,180,120,90,0.8,15,25,427.384,5.008825514,0.265766821,0.62792645,761.5722583,0.024158204,0.011719731,0.0137504,0.331155126
60mm_1_133,90,180,90,180,0.8,15,25,427.384,21.12301357,0.257516113,0.639477441,1332.851567,0.023408215,0.049423969,0.022916106,0.554456362
60mm_1_134,90,180,90,150,0.8,15,25,427.384,6.47209687,0.259397512,0.636843483,918.3925886,0.023579234,0.015143517,0.064156914,0.396662546
60mm_1_135,90,180,90,120,0.8,15,25,427.384,5.429380772,0.265766822,0.62792645,756.3000743,0.024158204,0.012703753,0.022916685,0.331592985
60mm_1_136,90,180,90,90,0.8,15,25,427.384,6.343881242,0.279607503,0.608549495,960.6658125,0.025416322,0.014843516,0.15,0.504357872
60mm_1_137,90,150,180,150,0.8,15,25,427.384,3.69224004,0.239187522,0.66513747,538.8692053,0.021742146,0.008639163,0.041254334,0.201760174
60mm_1_138,90,150,180,120,0.8,15,25,427.384,1.527204583,0.245556831,0.656220437,638.7204057,0.022321116,0.003573378,0.123848279,0.276419079
60mm_1_139,90,150,180,90,0.8,15,25,427.384,2.232151412,0.259397512,0.636843483,786.9406489,0.023579234,0.005222824,0.15,0.382859319
60mm_1_140,90,150,150,150,0.8,15,25,427.384,4.121070734,0.241068921,0.662503511,504.1224452,0.021913165,0.009642548,0.032088051,0.191243705
60mm_1_141,90,150,150,120,0.8,15,25,427.384,1.906837396,0.24743823,0.653586478,645.4022836,0.022492135,0.004461649,0.114465714,0.276476751
60mm_1_142,90,150,150,90,0.8,15,25,427.384,2.347998974,0.261278911,0.634209524,788.6797602,0.023750253,0.005493886,0.15,0.381867684
60mm_1_143,90,150,120,150,0.8,15,25,427.384,3.717443301,0.24743823,0.653586479,440.435928,0.022492135,0.008698134,0.041245619,0.175779643
60mm_1_144,90,150,120,120,0.8,15,25,427.384,1.672465139,0.253807539,0.644669446,592.4726971,0.023071105,0.003913261,0.110006189,0.267249908
60mm_1_145,90,150,120,90,0.8,15,25,427.384,2.349726888,0.26764822,0.625292492,738.9265253,0.024329223,0.005497929,0.15,0.373154588
60mm_1_146,90,150,90,150,0.8,15,25,427.384,3.961919771,0.261278912,0.634209524,859.9525378,0.023750253,0.009270164,0.100833257,0.394984845
60mm_1_147,90,150,90,120,0.8,15,25,427.384,2.818312415,0.267648221,0.625292491,728.5088783,0.024329223,0.006594333,0.142017651,0.359313292
60mm_1_148,90,150,90,90,0.8,15,25,427.384,3.404140485,0.281488902,0.605915537,921.8601118,0.025587341,0.007965063,0.15,0.510215505
60mm_1_149,90,120,180,120,0.8,15,25,427.384,1.035422789,0.25192614,0.647303405,777.4186778,0.022900086,0.002422699,0.15,0.375986735
60mm_1_150,90,120,180,90,0.8,15,25,427.384,1.084130034,0.265766821,0.62792645,781.3161256,0.024158204,0.002536665,0.15,0.397782159
60mm_1_151,90,120,150,120,0.8,15,25,427.384,1.138107351,0.253807539,0.644669446,803.4253978,0.023071105,0.002662962,0.15,0.388150975
60mm_1_152,90,120,150,90,0.8,15,25,427.384,1.110571428,0.26764822,0.625292492,755.4279765,0.024329223,0.002598533,0.15,0.393015705
60mm_1_153,90,120,120,120,0.8,15,25,427.384,1.099097022,0.260176848,0.635752413,679.1744291,0.023650075,0.002571685,0.15,0.34021983
60mm_1_154,90,120,120,90,0.8,15,25,427.384,1.088421824,0.274017529,0.616375459,627.0352557,0.024908193,0.002546707,0.15,0.342572403
60mm_1_155,90,120,90,120,0.8,15,25,427.384,1.570943489,0.27401753,0.616375459,591.7023336,0.024908193,0.003675719,0.15,0.313945452
60mm_1_156,90,120,90,90,0.8,15,25,427.384,2.04416485,0.287858211,0.596998504,780.8652406,0.026166311,0.00478297,0.15,0.454354353
60mm_1_157,90,90,180,90,0.8,15,25,427.384,8.579456428,0.279607503,0.608549495,907.1336259,0.025416322,0.020074351,0.15,0.455519311
60mm_1_158,90,90,150,90,0.8,15,25,427.384,5.799298292,0.281488902,0.605915537,884.3859997,0.025587341,0.013569292,0.091674232,0.435502479
60mm_1_159,90,90,120,90,0.8,15,25,427.384,2.282409207,0.287858211,0.596998504,664.2675793,0.026166311,0.005340418,0.123736485,0.366615652
60mm_1_160,90,90,90,90,0.8,15,25,427.384,2.669778097,0.301698893,0.577621549,724.726537,0.013712215,0.00624679,0.15,0.577449486
60mm_2_001,180,180,180,180,1,15,25,427.384,28.43952976,0.266666667,0.626666667,886.3039067,0.02424,0.066543272,0.073336156,0.381906812
60mm_2_002,180,180,180,150,1,15,25,427.384,2.97839764,0.269018416,0.623374218,423.0059903,0.024453774,0.006968903,0.01374921,0.186079745
60mm_2_003,180,180,180,120,1,15,25,427.384,3.369072346,0.276980052,0.612227927,422.3100514,0.025177487,0.00788301,0.013749385,0.193015116
60mm_2_004,180,180,180,90,1,15,25,427.384,8.246127679,0.294280904,0.588006734,476.2114231,0.026750134,0.019294423,0.013749378,0.244191687
60mm_2_005,180,180,150,180,1,15,25,427.384,11.12297162,0.269018415,0.623374218,678.1009643,0.024453774,0.026025709,0.064169534,0.295917737
60mm_2_006,180,180,150,150,1,15,25,427.384,11.53639298,0.271370164,0.62008177,376.0909267,0.024667548,0.026993039,0.013750956,0.165871547
60mm_2_007,180,180,150,120,1,15,25,427.384,2.188284291,0.279331801,0.608935479,405.9015294,0.025391261,0.005120183,0.013749154,0.190098883
60mm_2_008,180,180,150,90,1,15,25,427.384,2.87999803,0.296632653,0.584714286,499.8950697,0.026963908,0.006738666,0.01375321,0.257054562
60mm_2_009,180,180,120,180,1,15,25,427.384,34.9903388,0.276980052,0.612227928,636.487006,0.025177487,0.081870961,0.050423396,0.297664511
60mm_2_010,180,180,120,150,1,15,25,427.384,5.64154231,0.279331801,0.608935479,408.2432295,0.025391261,0.013200172,0.01374915,0.19191605
60mm_2_011,180,180,120,120,1,15,25,427.384,9.725203268,0.287293437,0.597789188,479.0182335,0.026114973,0.022755188,0.013749862,0.236455916
60mm_2_012,180,180,120,90,1,15,25,427.384,2.550153743,0.304594289,0.573567995,619.1401179,0.027687621,0.005966891,0.132846848,0.376565399
60mm_2_013,180,180,90,180,1,15,25,427.384,16.68206941,0.235424723,0.670405387,641.6631476,0.021400107,0.039032976,0.032083944,0.229325931
60mm_2_014,180,180,90,150,1,15,25,427.384,12.90907987,0.296632653,0.584714286,572.1204659,0.026963908,0.030204874,0.022917974,0.301237937
60mm_2_015,180,180,90,120,1,15,25,427.384,11.47468856,0.30459429,0.573567995,699.981389,0.027687621,0.026848662,0.132686512,0.424408872
60mm_2_016,180,180,90,90,1,15,25,427.384,12.31898223,0.321895142,0.549346802,863.5242193,0.029260268,0.028824154,0.050407592,0.53259943
60mm_2_017,180,150,180,150,1,15,25,427.384,6.695478947,0.271370164,0.62008177,405.6369118,0.024667548,0.01566619,0.06414365,0.182742711
60mm_2_018,180,150,180,120,1,15,25,427.384,3.745962208,0.279331801,0.608935479,398.818866,0.025391261,0.008764863,0.032073502,0.188796582
60mm_2_019,180,150,180,90,1,15,25,427.384,3.212171132,0.296632653,0.584714286,463.2053047,0.026963908,0.00751589,0.032073623,0.244610839
60mm_2_020,180,150,150,150,1,15,25,427.384,13.23546534,0.328466296,0.540147186,431.6974002,0.029857586,0.030968556,0.03208493,0.270120307
60mm_2_021,180,150,150,120,1,15,25,427.384,3.276413785,0.28168355,0.60564303,393.7493383,0.025605035,0.007666206,0.022918665,0.189780227
60mm_2_022,180,150,150,90,1,15,25,427.384,3.293999355,0.298984402,0.581421837,479.8977341,0.027177682,0.007707353,0.022920418,0.257281991
